path,source_folder,label_3class,label_ru
remaining_dataset_clean/images_by_class/ordinary/ordinary_00001.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00002.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00003.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00004.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00005.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00006.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00007.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00008.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00009.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00010.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00011.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00012.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00013.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00014.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00015.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00016.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00017.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00018.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00019.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00020.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00021.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00022.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00023.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00024.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00025.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00026.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00027.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00028.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00029.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00030.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00031.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00032.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00033.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00034.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00035.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00036.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00037.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00038.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00039.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00040.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00041.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00042.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00043.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00044.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00045.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00046.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00047.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00048.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00049.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00050.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00051.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00052.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00053.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00054.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00055.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00056.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00057.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00058.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00059.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00060.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00061.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00062.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00063.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00064.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00065.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00066.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00067.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00068.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00069.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00070.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00071.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00072.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00073.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00074.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00075.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00076.jpg,ordinary,ordinary,Рядовая руда
remaining_dataset_clean/images_by_class/ordinary/ordinary_00077.jpg,ordinary,ordinary,Рядовая руда
